NUM DRONES,5
NUM TRUCKS,10
TRUCK CAP,1300.00
DRONE CAP,2.27
TRUCK SPEED,30.00
DRONE SPEED,40.00
DRONE ENDURANCE,0.60
DRONE TIME LIMIT,2.00
TRUCK TIME LIMIT,2.43
TRUCK UNIT COST,1.25
DRONE UNIT COST,0.03
0	12.50	0.00	0.00
1	14.02	11.85	1.74
2	6.33	17.67	1.66
3	22.30	9.39	1.66
4	19.77	9.45	2.10
5	1.60	7.23	0.33
6	5.53	18.43	1.22
7	19.95	4.89	0.81
8	9.13	16.96	2.02
9	20.51	8.50	1.72
10	13.60	10.31	26.24
11	4.47	5.73	1.11
12	19.57	1.36	0.95
13	19.76	7.70	58.69
14	10.56	10.82	1.89
15	7.16	20.03	0.36
16	16.01	12.45	1.92
17	16.66	23.20	1.70
18	2.52	23.98	1.62
19	21.53	3.32	1.41
20	16.11	24.04	0.30
21	4.96	1.87	32.95
22	0.29	24.17	28.71
23	21.84	20.78	1.64
24	9.76	22.24	1.96
25	23.31	23.25	1.63
26	22.17	15.19	59.47
27	13.57	9.56	58.81
28	5.42	16.24	0.91
29	15.53	3.36	0.70
30	15.52	13.14	0.60
31	16.44	22.49	1.39
32	16.84	17.97	2.19
33	1.90	1.91	1.89
34	15.29	20.63	62.61
35	23.05	10.19	1.35
36	21.80	3.13	0.67
37	16.71	19.14	0.13
38	12.03	3.01	1.76
39	15.24	24.57	2.06
40	8.33	13.37	0.15
41	21.38	10.73	0.67
42	1.76	13.80	2.13
43	4.00	7.78	3.51
44	7.73	1.00	0.30
45	14.54	4.80	59.24
46	12.35	7.20	1.39
47	5.58	16.54	1.27
48	22.97	17.46	48.26
49	23.12	17.11	0.32
50	14.15	5.67	1.58
51	0.11	12.31	1.98
52	21.15	7.02	1.18
53	2.01	17.70	1.16
54	11.49	12.86	45.32
55	14.06	23.14	2.07
56	1.87	11.18	0.87
57	0.11	12.31	1.30
58	0.02	12.27	0.13
59	2.79	11.19	0.27
60	0.20	12.29	1.35
61	0.07	12.23	1.99
62	1.81	12.36	1.27
63	0.06	13.04	1.26
64	0.30	13.14	3.93
65	2.29	13.10	2.24
66	0.32	12.83	1.19
67	0.34	12.18	1.54
68	21.71	7.47	1.57
69	20.71	7.35	2.17
70	20.98	6.82	0.38
71	21.32	8.18	0.97
72	2.01	17.68	13.12
73	1.41	16.91	1.36
74	2.06	17.76	25.36
75	2.65	17.14	1.67
76	1.62	16.92	1.94
77	0.85	18.54	0.82
78	2.02	17.68	1.10
79	2.19	17.83	1.23
80	1.81	17.46	1.01
81	11.62	12.50	0.35
82	10.67	12.78	0.27
83	11.00	13.88	0.41
84	11.49	13.63	27.52
85	14.26	23.54	2.05
86	14.05	22.73	0.60
87	14.00	21.89	1.68
88	1.94	11.12	2.14
89	2.85	11.85	2.19
90	0.71	10.52	0.82
91	4.58	11.19	1.57
92	1.70	10.04	1.26
93	2.17	9.48	2.26
94	2.84	10.06	1.76
95	1.14	10.57	23.59
96	1.87	11.73	0.49
97	1.89	11.20	0.17
98	2.00	9.86	1.90
99	2.17	11.18	2.07
100	0.44	9.90	18.64
